name,location,price,capacity,rating,reviews,description
Atlanta Botanical Garden,"Atlanta, GA",$$$,151-200 Guests,4.7,21,"An urban oasis nestled in the heart of Midtown, this property offers lush lawns, verdant tropical foliage, and a versatile indoor/outdoor space for weddings."
Factory Atlanta,"Atlanta, GA",$$$,300+ Guests,5,6,A versatile industrial-meets-chic wedding venue perfect for couples who love to get creative.
Monday Night Brewing: The Garage,Metro Atlanta,$$,300+ Guests,4.9,14,"A charming and inviting private event space with high ceilings, natural light, and historic charm."
Park Tavern: The Piedmont Room & Piedmont Garden Tent,Georgia,$$,251-300 Guests,4.7,132,Celebrates Atlanta's city skylines and seasonal colors with indoor and outdoor spaces overlooking Piedmont Park.
Journeyman's Hall,"Atlanta, GA",$$,151-200 Guests,5,3,A wedding venue in South Downtown Atlanta offering custom wedding experiences led by Chef Vincent Marra.
Grana,"Atlanta, GA",$$,151-200 Guests,5,1,Provides authentic Southern Italian cuisine in a warm and inviting setting with three levels of event space.
Ambient + Studio,"Atlanta, GA",$$,251-300 Guests,4.4,9,"A unique wedding venue built in 1910, offering a historic and creative space for events."
FORTH Hotel Atlanta,Georgia,$$$$,201-250 Guests,0,0,A luxury venue in Old Fourth Ward with an elegant ballroom and rooftop space.
Hyatt Regency Atlanta Perimeter at Villa Christina,"Atlanta, GA",$$$,300+ Guests,4.6,63,"Surrounded by landscaped gardens, offering captivating views and elegant event spaces."
Wahoo! Grill,"Decatur, GA",$$,201-250 Guests,5,100,A full-service wedding venue with outstanding staff and a relaxing atmosphere.
Ecco Buckhead,"Atlanta, GA",$$$,300+ Guests,0,0,An elegant restaurant wedding venue in the heart of Buckhead.
The Kimpton Shane,Atlanta,$$$,51-100 Guests,0,0,A boutique hotel with stunning architecture and stylish furnishings.
The White Bull,"Decatur, GA",$$,51-100 Guests,0,0,A restaurant wedding venue specializing in Italian farm-to-table cuisine.
Emory Conference Center Hotel,"Atlanta, GA",$$,300+ Guests,4.8,41,An elegant venue with versatile surroundings and convenient location.
Historic DeKalb Courthouse,"Decatur, GA",$$,101-150 Guests,4.9,92,A premier wedding venue with an elegant courtroom and historic charm.
Renaissance Atlanta Midtown Hotel,Midtown Atlanta,$$$,300+ Guests,5,2,"Located in the arts and music district, offering a prime location for events."
The Wimbish House,"Atlanta, GA",$$,201-250 Guests,4.9,85,A Victorian-era home with nearly a century of hosting weddings and events.
SCAD Ivy Hall,Georgia,$$,101-150 Guests,4.5,4,A historic wedding venue designed by renowned architect Gottfried L. Norrman.
Epicurean Hotel Atlanta,"Atlanta, GA",$$$,101-150 Guests,5,3,"A luxe and lavish wedding venue with sleek, modern architecture."
Callanwolde Fine Arts Center,"Atlanta, GA",$$$,151-200 Guests,4.6,38,A unique wedding venue with a century-long legacy in Druid Hills.
Intercontinental Buckhead Atlanta,"Atlanta, GA",$$$,300+ Guests,5,8,Combines classic charm with modern luxury in the heart of Buckhead.
Wrecking Bar Brewpub,"Atlanta, GA",$$,201-250 Guests,5,9,A historic mansion with Victorian-era architecture in the heart of Atlanta.
Waldorf Astoria Atlanta Buckhead,"Atlanta, GA",$$$$,51-100 Guests,4.9,7,A luxurious venue with Southern charm in a prestigious neighborhood.
Hotel Colee,"Atlanta, GA",$$$,251-300 Guests,0,0,An award-winning hotel with stunning architecture and event spaces.
The Westside Warehouse,"Atlanta, GA",$$,201-250 Guests,5,37,A converted warehouse with cathedral ceilings in a creative district.
42West Entertainment Group,"Atlanta, GA",$$$,251-300 Guests,5,6,A wedding venue blending industrial modernity with refined elegance.
THE TROLLEY BARN,"Atlanta, GA",$$,201-250 Guests,4.2,41,A historic 1889 structure with hardwood floors and garden areas.
Kimpton Sylvan Hotel,"Atlanta, GA",$$$,101-150 Guests,1,1,A boutique hotel in Buckhead offering access to luxury amenities.
Grand Hyatt Atlanta in Buckhead,"Atlanta, GA",$$$,300+ Guests,5,4,An urban retreat offering comfort and convenience in Buckhead.
Omni Atlanta Hotel at Centennial Park,"Atlanta, GA",$$$,300+ Guests,5,2,"A hotel in downtown Atlanta, perfect for weddings and events."
